DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	Tritium DCFC Ltd	1862490	dcfc	proxy											
2022	DoubleDown Interactive Co., Ltd.	1799567	ddi	proxy											
2022	Dragonfly Energy Holdings Corp.	1847986	dfli	proxy											
2022	Digihost Technology Inc.	1854368	dghi	proxy											
2022	DIGITAL HEALTH ACQUISITION CORP.	1864531	dhac	proxy											
2022	Data Knights Acquisition Corp.	1849380	dkdca	proxy											
2022	DraftKings Inc.	1883685	dkng	proxy											
2022	dLocal Ltd	1846832	dlo	proxy											
2022	Deep Medicine Acquisition Corp.	1857086	dmaq	proxy											
2022	DMK PHARMACEUTICALS Corp	887247	dmk	proxy											
2022	Dianthus Therapeutics, Inc. /DE/	1690585	dnth	proxy											
2022	Dogness (International) Corp	1707303	dogz	proxy											
2022	Dominari Holdings Inc.	12239	domh	proxy											
2022	BRP Inc.	1748797	dooo	proxy											
2022	AMDOCS LTD	1062579	dox	proxy											
2022	DouYu International Holdings Ltd	1762417	doyu	proxy											
2022	Draganfly Inc.	1786286	dpro	proxy											
2022	Direct Digital Holdings, Inc.	1880613	drct	proxy											
2022	Leonardo DRS, Inc.	1833756	drs	proxy											
2022	Alpha Tau Medical Ltd.	1871321	drts	proxy											
2022	BRIGHT MINDS BIOSCIENCES INC.	1827401	drug	proxy											
2022	DESCARTES SYSTEMS GROUP INC	1050140	dsgx	proxy											
2022	DESWELL INDUSTRIES INC	946936	dswl	proxy											
2022	DAVIS COMMODITIES Ltd	1949478	dtck	proxy											
2022	Drilling Tools International Corp	1884516	dti	proxy											
2022	Dune Acquisition Corp	1817232	dune	proxy											
2022	Fangdd Network Group Ltd.	1750593	duo	proxy											
2022	Digital World Acquisition Corp.	1849635	dwac	proxy											
2022	Ebang International Holdings Inc.	1799290	ebon	proxy											
2022	ECB Bancorp, Inc. /MD/	1914605	ecbk	proxy											
2022	ECARX Holdings Inc.	1861974	ecx	proxy											
2022	EDAP TMS SA	1041934	edap	proxy											
2022	Edible Garden AG Inc	1809750	edbl	proxy											
2022	EuroDry Ltd.	1731388	edry	proxy											
2022	Skillful Craftsman Education Technology Ltd	1782309	edtk	proxy											
2022	EpicQuest Education Group International Ltd	1781397	eeiq	proxy											
2022	EF Hutton Acquisition Corp I	1922858	efht	proxy											
2022	Edgio, Inc.	1391127	egio	proxy											
2022	Enthusiast Gaming Holdings Inc. / Canada	1854233	eglx	proxy											
2022	EHang Holdings Ltd	1759783	eh	proxy											
2022	E-Home Household Service Holdings Ltd	1769768	ejh	proxy											
2022	Electra Battery Materials Corp	1907184	elbm	proxy											
2022	ELTEK LTD	1024672	eltk	proxy											
2022	Elicio Therapeutics, Inc.	1601485	eltx	proxy											
2022	ELUTIA INC.	1708527	elut	proxy											
2022	Electrovaya Inc.	1844450	elva	proxy											
2022	Enliven Therapeutics, Inc.	1672619	elvn	proxy											
2022	Earlyworks Co., Ltd.	1944399	elws	proxy											
2022	Smart Share Global Ltd	1834253	em	proxy											
2022	Energem Corp	1879373	encp	proxy											
2022	Enlight Renewable Energy Ltd.	1922641	enlt	proxy											
2022	Enlivex Therapeutics Ltd.	1596812	enlv	proxy											
2022	Sunrise New Energy Co., Ltd.	1780731	epow	proxy											
2022	ERICSSON LM TELEPHONE CO	717826	eric	proxy											
2022	ERIE INDEMNITY CO	922621	erie	proxy											
2022	Eterna Therapeutics Inc.	748592	erna	proxy											
2022	EUROSEAS LTD.	1341170	esea	proxy											
2022	ESGL Holdings Ltd	1957538	esgl	proxy											
2022	ELBIT SYSTEMS LTD	1027664	eslt	proxy											
2022	Evaxion Biotech A/S	1828253	evax	proxy											
2022	Evogene Ltd.	1574565	evgn	proxy											
2022	Evotec SE	1412558	evo	proxy											
2022	Exscientia plc	1865408	exai	proxy											
2022	EZGO Technologies Ltd.	1806904	ezgo	proxy											
2022	EZCORP INC	876523	ezpw	proxy											
2022	Farmmi, Inc.	1701261	fami	proxy											
2022	FANHUA INC.	1413855	fanh	proxy											
2022	FAT PROJECTS ACQUISITION CORP	1865045	fatp	proxy											
2022	FaZe Holdings Inc.	1839360	faze	proxy											
2022	5E Advanced Materials, Inc.	1888654	feam	proxy											
2022	FGI Industries Ltd.	1864943	fgi	proxy											
2022	Future Health ESG Corp.	1851182	fhlt	proxy											
2022	FTAI Infrastructure Inc.	1899883	fip	proxy											
2022	Flora Growth Corp.	1790169	flgc	proxy											
2022	FLJ Group Ltd	1769256	flj	proxy											
2022	Foremost Lithium Resource & Technology Ltd.	1935418	fmst	proxy											
2022	FingerMotion, Inc.	1602409	fngr	proxy											
2022	FORMULA SYSTEMS (1985) LTD	1045986	forty	proxy											
2022	Fresh2 Group Ltd	1786511	fres	proxy											
2022	Freight Technologies, Inc.	1687542	frgt	proxy											
2022	Fortune Rise Acquisition Corp	1849294	frla	proxy											
2022	Freeline Therapeutics Holdings plc	1810031	frln	proxy											
2022	Foresight Autonomous Holdings Ltd.	1691221	frsx	proxy											
2022	Forza X1, Inc.	1901305	frza	proxy											
2022	FirstService Corp	1637810	fsv	proxy											
2022	Fitell Corp	1928581	ftel	proxy											
2022	FITLIFE BRANDS, INC.	1374328	ftlf	proxy											
2022	Fortrea Holdings Inc.	1965040	ftre	proxy											
2022	Futu Holdings Ltd	1754581	futu	proxy											
2022	Gambling.com Group Ltd	1839799	gamb	proxy											
2022	GameSquare Holdings, Inc.	1714562	game	proxy											
2022	StealthGas Inc.	1328919	gass	proxy											
2022	Greenbrook TMS Inc.	1735948	gbnh	proxy											
2022	GigaCloud Technology Inc	1857816	gct	proxy											
2022	GlucoTrack, Inc.	1506983	gctk	proxy											
2022	GD Culture Group Ltd	1641398	gdc	proxy											
2022	GDEV Inc.	1848739	gdev	proxy											
2022	GOLDEN HEAVEN GROUP HOLDINGS LTD.	1928340	gdhg	proxy											
2022	GDS Holdings Ltd	1526125	gds	proxy											
2022	CytoMed Therapeutics Ltd	1873093	gdtc	proxy											
2022	GE HealthCare Technologies Inc.	1932393	gehc	proxy											
2022	Gen Digital Inc.	849399	gen	proxy											
2022	GENETIC TECHNOLOGIES LTD	1166272	gene	proxy											
2022	GEN Restaurant Group, Inc.	1891856	genk	proxy											
2022	Guardforce AI Co., Ltd.	1804469	gfai	proxy											
2022	GLOBALFOUNDRIES Inc.	1709048	gfs	proxy											
2022	GRUPO FINANCIERO GALICIA SA	1114700	ggal	proxy											
2022	Gogoro Inc.	1886190	ggr	proxy											
2022	GH Research PLC	1855129	ghrs	proxy											
2022	GigCapital5, Inc.	1844505	gia	proxy											
2022	GIGAMEDIA Ltd	1105101	gigm	proxy											
2022	GILAT SATELLITE NETWORKS LTD	897322	gilt	proxy											
2022	Global-E Online Ltd.	1835963	glbe	proxy											
